Le nom commercial ;Quantité en stock;Prix Public;Date derniére sortie;Listes;Classes;Formes
Skiacol cy 5ml;0;6?832;14/08/2023;LISTE I;Mydriatique Cycloplegique;Collyres
Atropine Alcon 0,5% cy Fl/10ml;2;2?902;20/05/2023;LISTE I;Mydriatique;Collyres
Atropine Alcon 1% cy Fl/10ml;0;40;19/05/2023;LISTE I;Mydriatique;Collyres
Mydriaticum 0,5 cy 10ml;1;1?773;10/08/2023;LISTE I;Mydriatique;Collyres
Neosynephrine 10% cy Fl/10ml;2;2?252;02/09/2022;SANS TABLEAU;Mydriatique;Collyres
Broxol sp FL/100ml;2;2?014;22/09/2023;SANS TABLEAU;Mucolytique Expectorant Bronchodilatateur;Sirops
Biofar chrome organique sans sucre cp B/20;1;4?838;26/07/2023;SANS TABLEAU;Metabolisme glucidique;Comprimes Gelules
Activos B/24 pastilles sans sucre;0;0;;SANS TABLEAU;Maux de gorge Enrouements;Pastilles
Humex pastilles B/24;0;3?567;06/07/2022;SANS TABLEAU;Maux de gorge Enrouements;Pastilles
Humex biclo miel citron pastilles B/24;0;3?559;14/07/2022;SANS TABLEAU;Maux de gorge ;Pastilles
Vicks pastilles mentholees sht/18;0;0;;SANS TABLEAU;Maux de gorge ;Pastilles
Cyclo 3 fort amp buv B/30;0;3?604;06/03/2023;SANS TABLEAU;Lymphoveinotonique et Vasculoprotectrice;Ampoules buvables
Cyclo 3 fort Gelule B/30 sans sucre;7;3?697;01/09/2023;SANS TABLEAU;Lymphoveinotonique et Vasculoprotectrice;Comprimes Gelules
Manix gel lubrifiant;0;4?483;15/09/2020;SANS TABLEAU;Lubrifiant vaginal;Gel cutane
Magnesia cinfa sp Fl/260ml;0;0;;SANS TABLEAU;Laxatif  et Antiacide;Sirops
Chlorumagene pdre B/100g sans sucre;0;0;;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
Contalax cp B/30;0;972;01/05/2017;SANS TABLEAU;Laxatif;Comprimes Gelules
Cristal E suppo B/10;0;0;23/06/2020;SANS TABLEAU;Laxatif;Suppositoires
Cristal suppo NRS B/10;0;703;11/01/2018;SANS TABLEAU;Laxatif;Suppositoires
Crixan 125mg/5ml sp Fl/100ml;0;40;;Liste I;Laxatif;Sirops
Dulcolax cp B/20;0;0;;SANS TABLEAU;Laxatif;Comprimes Gelules
Duphalac sachet B/20;44;2?629;22/09/2023;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
Duphalac sp Fl/200ml;0;1?632;19/09/2023;SANS TABLEAU;Laxatif;Sirops
Forlax 10g sachet B/10;4;1?930;11/09/2023;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
Forlax 10g sachet B/20;2;3?855;10/08/2023;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
Fructines vichy 5mg cp ;48;1?735;20/09/2023;SANS TABLEAU;Laxatif;Comprimes Gelules
Glyss suppo Ad B/10;56;780;17/09/2023;SANS TABLEAU;Laxatif;Suppositoires
Glyss suppo NRS B/10 ;0;632;08/08/2023;SANS TABLEAU;Laxatif;Suppositoires
Lactulose sp Fl/200ml;0;0;20/07/2020;SANS TABLEAU;Laxatif;Sirops
Laevolac sp Fl/200ml;0;2?200;28/05/2017;SANS TABLEAU;Laxatif;Sirops
Lansoyl gel pot /225g;0;0;;SANS TABLEAU;Laxatif;Gelee
Lubentyl emulsion pot/250g;0;0;;SANS TABLEAU;Laxatif;Gelee
Microlax Ad gel rectale B/6 unidose;0;0;;SANS TABLEAU;Laxatif;Gel rectal
Microlax BB gel rectale B/6 unidose;0;0;;SANS TABLEAU;Laxatif;Gel rectal
Mucimum cp B/20;0;0;;SANS TABLEAU;Laxatif;Comprimes Gelules
Pursennide cp B/20;0;0;;SANS TABLEAU;Laxatif;Comprimes Gelules
Rectopanbiline gel rectal B/6 unidose;0;0;;SANS TABLEAU;Laxatif;Gel rectal
Senekot cp B/30;0;0;;SANS TABLEAU;Laxatif;Comprimes Gelules
Skilax gtte buv FL/15ml;36;1?479;21/09/2023;SANS TABLEAU;Laxatif;Gouttes buvables
Sulfate de magnesium eff sachet 30g;0;0;;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
sulfate de sodium eff;0;0;;SANS TABLEAU;Laxatif;Sachets Granules poudres orales
Tamarine cp B/20 sans sucre;0;0;;SANS TABLEAU;Laxatif;Comprimes Gelules
Clairissime lait hydr corp violettes 500ml;0;8?103;03/06/2023;SANS TABLEAU;Lavement;Lait
Fortans sachet B/64g;1;9?477;30/08/2023;SANS TABLEAU;Lavement;Sachets Granules poudres orales
Norgalax gel rectal B/6 unidose;0;0;;SANS TABLEAU;Lavement;Gel rectal
Normacol lavement T/130ml;0;1?657;05/07/2021;SANS TABLEAU;Lavement;Gel rectal
Normacol lavement T/130ml;0;1?657;24/11/2022;SANS TABLEAU;Lavement;Gel rectal
Dermocuivre faible pdre T/25g;0;40;;Liste I;Irritation cutanee;Pommades cremes
Mitosyl pde T/150 gr;0;1?060;08/06/2019;SANS TABLEAU;Irritation cutanee;Pommades cremes
Mitosyl pde T/65 gr;0;1?026;04/05/2019;SANS TABLEAU;Irritation cutanee;Pommades cremes
Oxyplastine 46% pde T/135gr;2;2?439;12/09/2023;SANS TABLEAU;Irritation cutanee;Pommades cremes
Pediakid nervosite sp Fl/125ml;1;0;29/09/2021;SANS TABLEAU;Insomnie;Sirops
Parlodel 2,5mg cp B/30;0;40;;Liste I;Inhibiteur de la prolactine Antiparkinsonien;Sirops
Clomid 50mg cp B/10;7;7?858;22/09/2023;LISTE I;Inducteur de leovulation;Comprimes Gelules
Clomid 50mg cp B/5;3;3?594;21/08/2023;LISTE I;Inducteur de leovulation;Comprimes Gelules
Ditropan cp B/60;0;4?640;27/06/2021;LISTE II;Incontinence urinaire;Comprimes Gelules
Bagothyrox 0,1 cp B/50;0;30;;Liste II;Hypothyroidiens;Comprimes Gelules
Bagothyrox 0,2 cp B/50;0;30;;Liste II;Hypothyroidiens;Comprimes Gelules
Levothyrox 100 cp B/28;10;1?635;21/09/2023;LISTE II;Hypothyroidiens;Comprimes Gelules
Levothyrox 125 cp B/28;0;2?223;11/02/2019;LISTE II;Hypothyroidiens;Comprimes Gelules
Levothyrox 150 cp B/28;0;2?002;08/10/2021;LISTE II;Hypothyroidiens;Comprimes Gelules
Lipanthyl 100mg gelu B/48;0;8?300;29/04/2023;LISTE II;Hypolipidemiant Hypocholesterolemiant Hypotriglyce;Comprimes Gelules
Lipanthyl 200mg gelu B/30;4;8?381;14/07/2023;Liste II;Hypolipidemiant Hypocholesterolemiant Hypotriglyce;Comprimes Gelules
Mediator cp 150mg B/30;0;40;;Liste I;Hypolipidemiant Antidiabetique;Comprimes Gelules
Lescol 40mg cp B/28;0;40;;Liste I;Hypolipidemiant;Comprimes Gelules
Lescol 80mg cp B/28;0;40;;Liste I;Hypolipidemiant;Comprimes Gelules
Nocol 20mg cp B/30;0;8?484;18/07/2021;Liste I;Hypolipidemiant;Comprimes Gelules
Nocol 40mg cp B/30;0;40;;Liste I;Hypolipidemiant;Comprimes Gelules
Simvor 10mg cp B/10;0;40;;Liste I;Hypolipidemiant;Comprimes Gelules
Simvor 20mg cp B/10;0;40;;Liste I;Hypolipidemiant;Comprimes Gelules
Tahor 10mg cp B/28;0;12?021;;LISTE I;Hypolipidemiant;Comprimes Gelules
Aderma exomega baume emolliente 400ml ;0;2?721;15/06/2017;SANS TABLEAU;Hypnotique Sedatif;Pommades cremes
Inhalateur valda baton b/1;0;0;07/11/2022;SANS TABLEAU;Hypnotique Sedatif;Inhalation
Kidoo multivt sp enf f/120ml;1;3?717;19/09/2023;SANS TABLEAU;Hypnotique Sedatif;Sirops
Nopron sp Fl/150ml;0;30;;Liste II;Hypnotique Sedatif;Sirops
Protec pill 1.5mg cpr b/1;0;1?211;08/08/2023;SANS TABLEAU;Hypnotique Sedatif;Comprimes Gelules
Stilnox 10mg cp B/20;1;2?852;28/02/2023;Liste I;Hypnotique Sedatif;Comprimes Gelules
Tranxene 10mg cp B/30 sans sucre ;2;2?026;04/05/2023;LISTE I;Hypnotique Sedatif;Comprimes Gelules
Tranxene 5mg cp B/30 sans sucre;2;1?237;11/06/2023;LISTE I;Hypnotique Sedatif;Comprimes Gelules
Amlodipine pfizer 5mg cpr b/30;5;1?446;13/07/2023;LISTE I;Hygiene nasale;Comprimes Gelules
Babysoin B/20 unidose;12;2?629;07/09/2023;SANS TABLEAU;Hygiene nasale;Gouttes/Spray nasal
Marimer spray nasal isotonique;3;3?639;18/08/2023;LISTE II;Hygiene nasale;Gouttes/Spray nasal
Prorhinel gtte nasale;0;1?622;;SANS TABLEAU;Hygiene nasale;Gouttes/Spray nasal
Sterimar spray nasal;2;2?124;11/06/2023;SANS TABLEAU;Hygiene nasale;Gouttes/Spray nasal
Unimer  spray nasal Ad FL/100ml;0;4?683;09/03/2020;SANS TABLEAU;Hygiene nasale;Gouttes/Spray nasal
Unimer spray nasal Enf FL/100ml;0;0;;SANS TABLEAU;Hygiene nasale;Gouttes/Spray nasal
Audyspray spray aur F/45ml;0;0;;SANS TABLEAU;Hygiene auriculaire;Gouttes auriculaires
Hydranorme e leeau thermaleT/38g;0;0;;SANS TABLEAU;Hydratant cutane;Pommades cremes
Hydraphase lotion Fl/200ml;0;0;;SANS TABLEAU;Hydratant cutane;Solutions externes lotions
Ictyane ducray cr T/150ml;0;0;19/11/2020;SANS TABLEAU;Hydratant cutane;Pommades cremes
Lipiane 125ml;0;0;;SANS TABLEAU;Hydratant cutane;Baume Lait
Lipiane 500ml;0;0;;SANS TABLEAU;Hydratant cutane;Baume Lait
Lipikar fl/200ml relipidant corps;0;12?366;20/03/2023;SANS TABLEAU;Hydratant cutane;Baume Lait
Lipikar savon 150g;3;5?680;04/07/2023;SANS TABLEAU;Hydratant cutane;Pains
Uriage emollient T/150ml;0;0;15/08/2018;SANS TABLEAU;Hydratant cutane;Baume Lait
Vaseline officinale Cooper T/45gr;4;1?719;13/09/2023;SANS TABLEAU;Hydratant cutane;Pommades cremes
Vegebom creme adouc peaux seche;0;0;16/09/2023;SANS TABLEAU;Hydratant cutane;Pommades cremes
Gonadotrophine chorionique endo 1500 B/6amp;0;40;;Liste I;Hormone;Injectables
Gonadotrophine chorionique endo 5000 B/1amp;0;40;;Liste I;Hormone;Injectables
Simepar cp B/20 sans sucre ;0;0;28/08/2018;SANS TABLEAU;Hepatoprotecteur;Comprimes Gelules
Simepar cp B/40 sans sucre;0;0;;SANS TABLEAU;Hepatoprotecteur;Comprimes Gelules
Flixotide 60 doses;0;1?849;19/03/2018;Liste I;Glucocorticoide Antiasthmatique;Poudres inhalation
Flogofenac 100mg Ret cp B/21;0;40;;Liste I;Glucocorticoide Antiasthmatique;Comprimes Gelules
Oxalair  spray 120 doses ;1;7?130;22/10/2022;LISTE I;Glucocorticoide Antiasthmatique;Spray aerosol
Flixonase 50mcg 120 doses spray nasal;0;3?418;19/05/2023;LISTE I;Glucocorticoide;Gouttes/Spray nasal
Nasax 100 doses spr nasal;0;4?961;22/07/2023;Liste I;Glucocorticoide;Gouttes/Spray nasal
Asthenal cp B/50 sans sucre;0;0;;SANS TABLEAU;Fortifiant reconstituant;Comprimes Gelules
Gerimax cp A B/30;0;0;;SANS TABLEAU;Fortifiant croissance;Comprimes Gelules
Cevit vit C 100mg cp B/10  sans sucre;1;1?408;14/09/2023;SANS TABLEAU;Fortifiant;Comprimes Gelules
Gelee royale amp buv bte 20;0;7?198;31/07/2018;SANS TABLEAU;Fortifiant;Ampoules buvables
Matrifort B/30 cp;1;0;;SANS TABLEAU;Fortifiant;Comprimes Gelules
Oligosol sp Fl/60ml;0;2?109;01/04/2017;SANS TABLEAU;Fortifiant;Sirops
Pediakid immuni fortifiant sp Fl/125ml;2;7?886;09/09/2023;SANS TABLEAU;Fortifiant;Sirops
Sportenine cp e croquer B/22;0;0;;SANS TABLEAU;Fortifiant;Comprimes Gelules
Stayong plus B/30 cp;1;1?562;18/08/2023;SANS TABLEAU;Fortifiant;Comprimes Gelules
Tonocebrinon cp B/25;0;0;;SANS TABLEAU;Fortifiant;Comprimes Gelules
Memoire plus amp B/10;0;0;;SANS TABLEAU;Force intellectuelle;Comprimes Gelules
Bisolvon 8mg cp B/30;0;0;;SANS TABLEAU;Fludifiant bronchique;Comprimes Gelules
Exomuc 100mg NN scht B/10;0;3?252;04/09/2023;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Exomuc 200mg sht B/30;4;3?252;16/09/2023;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Fluimicil 100mg NN scht B/10;0;0;11/02/2022;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Fluisedal sans promethazine sp Fl/125ml;0;0;;SANS TABLEAU;Fludifiant bronchique;Sirops
Instaclop 75mg;0;8?476;18/08/2023;LISTE I;Fludifiant bronchique;Comprimes Gelules
Mucodrenol sp Fl/200ml sans sucre;0;1?909;15/09/2023;SANS TABLEAU;Fludifiant bronchique;Sirops
Mucolator 200mg B/30 sachet;0;0;19/10/2018;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Mucomyst 100mg sp Fl/120ml;0;0;17/10/2020;SANS TABLEAU;Fludifiant bronchique;Sirops
Mucomyst 200mg cp eff B/30;4;2?249;10/06/2023;SANS TABLEAU;Fludifiant bronchique;Comprimes Gelules
Mucomyst 200mg sp Fl/120ml;0;2?243;27/08/2020;SANS TABLEAU;Fludifiant bronchique;Sirops
Mucomyst sht B/18;-1;2?329;08/06/2023;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Mucospire 200mg B/30 sachet;0;0;;SANS TABLEAU;Fludifiant bronchique;Sachets Granules poudres orales
Muxol sp Fl/100ml sans sucre ;0;2?243;05/06/2020;SANS TABLEAU;Fludifiant bronchique;Sirops
Surbronc 300mg cp B/30;0;0;;SANS TABLEAU;Fludifiant bronchique;Comprimes Gelules
Tevabronc 30mg cp B/30;0;0;;SANS TABLEAU;Fludifiant bronchique;Comprimes Gelules
Ozothine suppo E B/10;0;0;;SANS TABLEAU;Fludifiant;Suppositoires
Caille-Lait cp B/30;0;1?033;29/01/2022;SANS TABLEAU;Ferment lactique;Comprimes Gelules
Colpotrophine ovule B/10;0;30;;Liste II;Estrogene;Ovules Comprimes gynecologiques
Colpotrophine T/15g;0;30;;Liste II;Estrogene;Pommades cremes
Estreva pde T/50g;0;30;;Liste II;Estrogene;Gel cutane
Oestrogel gel T/80g;0;1?589;01/04/2017;Liste II;Estrogene;Gel cutane
Oxyboldine  cp eff B/24 sans sucre;6;1?729;04/09/2023;SANS TABLEAU;Dyspepsie Flatulence;Comprimes Gelules
Pepfiz  cp eff B/10 sans sucre;0;0;;SANS TABLEAU;Dyspepsie Flatulence;Comprimes Gelules
Canova 50 cp B/4;1;5?048;09/05/2023;LISTE I;Dysfonctionnement erectile;Comprimes Gelules
Capen 25mg cp B/30;1;2?949;11/04/2023;Liste I;Dysfonctionnement erectile;Comprimes Gelules
Cupid 50 cp B/1;1;2?109;09/01/2023;SANS TABLEAU;Dysfonctionnement erectile;Comprimes Gelules
Levitra 10 B/14 cp;0;40;;Liste I;Dysfonctionnement erectile;Comprimes Gelules
Procomil cp B/30;0;5?417;09/06/2023;SANS TABLEAU;Dysfonctionnement erectile;Comprimes Gelules
Solagra  100 cp B/4 ;0;40;;Liste I;Dysfonctionnement erectile;Comprimes Gelules
Solagra 50 cp B/4;0;40;;Liste I;Dysfonctionnement erectile;Comprimes Gelules
Viagra 100mg cp B/4;0;30;04/04/2023;LISTE II;Dysfonctionnement erectile;Comprimes Gelules
Viagra 50mg cp B/1;0;2?456;18/08/2020;LISTE II;Dysfonctionnement erectile;Comprimes Gelules
Viagra 50mg cp B/4;0;30;;LISTE II;Dysfonctionnement erectile;Comprimes Gelules
Warimil 3mg cp B/30;0;0;;SANS TABLEAU;Dysfonctionnement erectile;Comprimes Gelules
Yohimbine Houde 2mg cp B/50;0;0;;SANS TABLEAU;Dysfonctionnement erectile;Comprimes Gelules
Osmogel gel T/90gr ;0;1?119;12/03/2021;SANS TABLEAU;Douleur traumatique;Pommades cremes
Srilane 5% gelT/60g;0;0;;SANS TABLEAU;Douleur traumatique;Gel cutane
Aldactone 50mg cp B/20;15;4?823;11/09/2023;LISTE II;Diuretique;Comprimes Gelules
Aldactone 75mg cp B/20;5;6?888;11/08/2023;LISTE II;Diuretique;Comprimes Gelules
Diamox 250mg cp B/24;0;3?906;14/11/2022;Liste I;Diuretique;Comprimes Gelules
Esidrex cp B/20;1;796;21/09/2023;LISTE II;Diuretique;Comprimes Gelules
Fludex 2,5mg cp B/30;0;5?901;22/05/2023;LISTE II;Diuretique;Comprimes Gelules
Fludex LP 1,5mg cp B/30;2;6?022;21/09/2023;LISTE II;Diuretique;Comprimes Gelules
Lasilix 20mg inj B/1;12;557;21/09/2023;LISTE II;Diuretique;Injectables
Lasilix 40mg cp B/30;15;2?483;21/09/2023;LISTE II;Diuretique;Comprimes Gelules
Lasilix Retard 60mg cp B/30;0;30;14/01/2018;Liste II;Diuretique;Comprimes Gelules
Fluskin gel T/30ml;1;1?140;19/03/2023;Liste I;Dermocorticoide antipsoriasique;Gel cutane
Betneval 0,1% creme derm T/30g;0;2?447;12/03/2021;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Betneval 0,1% pde T/30g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Betneval Neomycine crem T/30g ;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Betneval Neomycine pde T/30g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Celestoderm 0,1% creme T/10g;0;40;;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Celestoderme 0,1% pde T/10g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Dermosalic lotion Fl/30ml;1;1?237;18/08/2023;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions
Dermosalic pdre T/30g;1;1?962;04/02/2023;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Dermosone  0,05%  creme T/15g;3;1?167;15/06/2023;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Dermosone 0,05% pde T/15g;2;1?160;29/08/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Dermosone neo creme T/15g;0;1?188;20/04/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Diprosalic lotion Fl/30g;0;40;06/01/2023;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions
Diprosalic pde T/30g;6;2?639;15/09/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Diprosone 0,05% creme T/30g;21;2?878;19/09/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Diprosone 0,05% pdeT/30g;7;2?877;19/09/2023;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Diprosone lotion Fl/15g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions
Diprosone neomycne creme T/30g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Diprosone neomycne pde T/30g;0;40;;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Epitopic creme T/15g;2;1?741;13/06/2023;Liste I;Dermocorticoide antiinflammatoire;Pommades cremes
Epitopic gel T/15;0;40;;LISTE I;Dermocorticoide antiinflammatoire;Gel cutane
Locoid creme epaisse T/30g;0;2?022;26/10/2021;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Locoid creme T/30g;0;2?149;13/07/2021;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Locoid lotion Fl/30ml;0;2?149;13/07/2019;Liste I;Dermocorticoide antiinflammatoire;Solutions externes lotions
Locoid pommade T/30g;0;1?933;17/08/2021;LISTE I;Dermocorticoide antiinflammatoire;Pommades cremes
Leucodinine b 10% T/30g;0;1?463;29/03/2019;SANS TABLEAU;Depigmentant;Pommades cremes
Mela-D pdeT/30g;0;0;;SANS TABLEAU;Depigmentant;Pommades cremes
Immunoplex N cp B/30;1;40;22/08/2023;Liste I;Deficit immunitaire;Comprimes Gelules
Balsofumine mentholee Fl/84ml;0;0;;SANS TABLEAU;Decongestionnant des voies aeriennes superieures;Inhalation
Bronchodermine pde T/60g;0;1?494;07/02/2023;SANS TABLEAU;Decongestionnant des voies aeriennes superieures;Pommades cremes
Perubore cp pour inhalation B/30;0;0;;SANS TABLEAU;Decongestionnant des voies aeriennes superieures;Comprimes Gelules
Vegebom pde T/100g;5;2?536;21/06/2023;SANS TABLEAU;Decongestionnant;Pommades cremes
Vegebom pde T/45g;0;1?406;09/06/2023;SANS TABLEAU;Decongestionnant;Pommades cremes
Vegebom suppo B/12;0;0;;SANS TABLEAU;Decongestionnant;Suppositoires
Aturgyl gtte nasale;0;948;22/01/2022;Liste II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Calyptol inchalant amp B/10;0;0;;SANS TABLEAU;Decongestif nasal Antiseptique;Inhalation
Derinox pulv nasale F/5ml;0;1?489;06/09/2020;Liste I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Deturgylone neces pr nebu Fl/10ml;0;2?210;01/04/2017;LISTE I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Deturgylone neces pr nebu Fl/10ml;0;2?210;01/04/2017;Liste I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Fastorik 0,5% gtte E F/10ml;0;0;;SANS TABLEAU;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Fastorik 1% gtte A F/10ml;0;864;01/04/2017;SANS TABLEAU;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Huile gomenolee 2%gtte nasale Fl/22ml;1;40;05/09/2023;LISTE I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Huile gomenolee 5%gtte nasale Fl/22ml;1;2?345;12/06/2023;Liste I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Nasonex 50mcg 120 doses spray nasal;6;11?181;17/09/2023;Liste I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Nasonex 50mcg 40 doses spray nasal;0;6?021;09/05/2023;LISTE I;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Otrivine gel nasal Ad T/10g;0;1?495;12/01/2023;LISTE II;Decongestif nasal Antiseptique;Gel nasal
Otrivin gtte nasal Ad Fl/10ml;5;1?621;12/09/2023;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Otrivin gtte nasal Enf Fl/10ml ;0;1?180;22/05/2023;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Otrivin nebuliseur Ad Fl/10ml;0;1?157;11/12/2018;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Respibien  gtte nasale FL/15ml;27;1?417;05/09/2023;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Rhinamide gtte nasale FL/20ml;0;30;;LISTE II;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Rhinofluimicil spray nasal;1;1?406;12/07/2023;SANS TABLEAU;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Surdex sp Fl/60ml;41;1?092;20/09/2023;SANS TABLEAU;Decongestif nasal Antiseptique;Sirops
Vibrocil gel nasal T/12g;0;1?832;12/05/2023;SANS TABLEAU;Decongestif nasal Antiseptique;Gel nasal
Vibrocil gtte nasal FL/15ml ;1;1?839;31/08/2023;SANS TABLEAU;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Vibrocil spray nasal FL/15ml ;0;1?705;17/07/2018;SANS TABLEAU;Decongestif nasal Antiseptique;Gouttes/Spray nasal
Xylovit 0,05% gtte E Fl/10ml;0;30;;Liste II;Decongestif nasal Antiseptique;Gouttes nasales
Xylovit 0,1% gtte A Fl/10ml;0;30;05/09/2022;Liste II;Decongestif nasal Antiseptique;Gouttes nasales
Le diable coricide sol Fl/4ml;0;0;;SANS TABLEAU;Coricide;Solutions externes lotions
Moneva cp B/21;0;40;;Liste I;Contraception orale;Comprimes Gelules
Moneva cp B/3*21;0;40;;LISTE I;Contraception orale;Comprimes Gelules
Norlevo 1,5mg cp B/1;100;3?589;22/09/2023;SANS TABLEAU;Contraceptif deurgence;Comprimes Gelules
Adepal 1 plaq/21cp;0;951;19/01/2022;LISTE I;Contraceptif;Comprimes Gelules
Adepal 3 plaq/21 cp;0;2?390;04/05/2021;LISTE I;Contraceptif;Comprimes Gelules
Microval plaq/28 cp;0;946;08/10/2021;LISTE I;Contraceptif;Comprimes Gelules
Minidril 1 plaq/21 cp;0;907;09/05/2022;Liste I;Contraceptif;Comprimes Gelules
Minidril 3 plaq/21 cp;0;2?864;25/04/2022;LISTE I;Contraceptif;Comprimes Gelules
Pharmatex ovule B/10;2;3?967;28/07/2023;SANS TABLEAU;Contraceptif;Ovules comprimes gynecologiques
Pharmatex tube B/6 unidose;0;0;;SANS TABLEAU;Contraceptif;Pommades cremes
Securil 1plaq B/28 cp ;112;374;19/09/2023;LISTE I;Contraceptif;Comprimes Gelules
Stediril 1 plaq 21 cp;0;775;11/08/2018;Liste I;Contraceptif;Comprimes Gelules
Stediril 3 plaq 21 cp;0;7?070;01/04/2017;LISTE I;Contraceptif;Comprimes Gelules
Triella 1 plaq 21 cp ;0;40;;Liste I;Contraceptif;Comprimes Gelules
Triella 1 plaq 21 cp ;0;40;;Liste I;Contraceptif;Comprimes Gelules
Triella 3 plaq 21 cp;0;40;;Liste I;Contraceptif;Comprimes Gelules
Trinordiol 1 plaq 21 cp ;0;40;;Liste I;Contraceptif;Comprimes Gelules
Trinordiol 3 plaq 21 cp ;0;40;;Liste I;Contraceptif;Comprimes Gelules
Vegebom inhaler;0;0;;SANS TABLEAU;Confort respiratoire;Inhalation
Vitalux plus cp B/28;0;0;;SANS TABLEAU;Complementaire alimentaire e visee oculaire;Comprimes Gelules
Astymin SH sol pr perf;3;5?871;20/09/2023;SANS TABLEAU;Complement proteinique;Injectables
Sommeil 8H Forte amp buv B/20;0;0;;SANS TABLEAU;Complement alimentaire (trouble du sommeil);Ampoules buvables
Antoxyl forte caps B/6;0;0;;SANS TABLEAU;Complement alimentaire (Supplement vitaminique);Comprimes Gelules
